ECID,Type,Name,Unit,Pointer,Max,Min,Default,Comment
1006,ASCII_TYPE,Lot ID,,fLotInfo->edtSysLotID,,,,Lot ID
1007,ASCII_TYPE,Operator ID,,fLotInfo->edtSysOperatorID,,,,Operator ID
1191,BOOLEAN_TYPE,USE_RFID_READER,,&USE_RFID_READER,1,0,0,USE_RFID_READER
1430,INT_4_TYPE,Arm 1 Contact times for alarm,,&LastSet.ContactSet[0],,,,Arm 1 Contact times for alarm
1431,INT_4_TYPE,Arm 2 Contact times for alarm,,&LastSet.ContactSet[1],,,,Arm 2 Contact times for alarm
1501,ASCII_TYPE,Setup File,,fMain->cbSetupFileName,,,,Recipe Name
1502,INT_4_TYPE,User Level,,&AccessLevel,3,0,0,0:Operator; 1:Engineer; 2:Supervisor; 3:HonPrec;
1513,INT_4_TYPE,Tester On/Off,,&LastSet.iTester,2,0,1,0:Off-Line; 1:On-Line; 2:2D_SORT
1514,INT_4_TYPE,Temperature Mode,,&LastSet.iTemperature,1,0,0,0:Ambient; 1:Hot
1517,INT_4_TYPE,Start Mode For HT9045,,&LastSet.iRunStartMode,8,0,0,0:Continuous Start;  1:Initial Start; 2:Re-Test Continuous; 3:Re-Test Initial Start; 4:Site Mapping Check; 5:QA Mode; 6:Continuous EQC; 7:Initial EQC; 8:Auto Retest; 
1518,INT_4_TYPE,Real/Dummy For HT9045,,&LastSet.iRealDummy,2,0,1,0:Dummy; 1:Tray Only; 2:Real; 
1519,FT_8_TYPE,Temperature Default for HT9045,,&Temperature.fWorkTemperBase,150,20,30,Temperature Default
1520,FT_8_TYPE,Temperature Soak Time for HT9045,Second,&Temperature.fSoakTime,10000,5,90,Temperature Soak Time
1530,ASCII_TYPE,Site Aa to Dh Status,,fMain->tSiteOnOff[0],,,,Site Aa to Dh Status; 0:Close; 1:Open 
1531,ASCII_TYPE,Site Aa to Dh Status for Arm 2,,fMain->tSiteOnOff[1],,,,Site Aa to Dh Status for Arm 2; 0:Close; 1:Open 
1581,ASCII_TYPE,Lot Information Customer,,&fSCKART->sInfo_Customer,,,,Lot Information Customer
1582,ASCII_TYPE,Lot Information Inner Lot ID,,&fSCKART->sLotID,,,,Lot Information Inner Lot ID
1583,ASCII_TYPE,Lot Information Customer Lot ID,,&fSCKART->sInfo_CustLotID,,,,Lot Information Customer Lot ID
1584,ASCII_TYPE,Lot Information Customer Device Group,,&fSCKART->sInfo_CustDevGup,,,,Lot Information Customer Device Group
1585,ASCII_TYPE,Lot Information Device Name,,&fSCKART->sInfo_DeviceName,,,,Lot Information Device Name
1586,ASCII_TYPE,Lot Information Stage,,&fSCKART->sInfo_Stage,,,,Lot Information Stage
1587,ASCII_TYPE,Lot Information Step,,&fSCKART->sInfo_Step,,,,Lot Information Step
1588,ASCII_TYPE,Lot Information Report Count,,&fSCKART->sInfo_ReportCnt,,,,Lot Information Report Count
1589,ASCII_TYPE,Lot Information Program Name,,&fSCKART->sInfo_ProgramName,,,,Lot Information Program Name
1590,ASCII_TYPE,Lot Information Test Bin No,,&fSCKART->sInfo_TestBinNo,,,,Lot Information Test Bin No
1591,ASCII_TYPE,Lot Information Tester ID,,&fSCKART->sInfo_TesterID,,,,Lot Information Tester ID
1592,ASCII_TYPE,Lot Information Handler ID,,&fSCKART->sInfo_HandlerID,,,,Lot Information Handler ID
1593,ASCII_TYPE,Lot Information Temperauture,,&fSCKART->sInfo_Temperauture,,,,Lot Information Temperauture
1594,ASCII_TYPE,Lot Information Curr Quantity,,&fSCKART->sInfo_CurrQty,,,,Lot Information Curr Quantity
1595,ASCII_TYPE,Lot Information Operator ID,,&fSCKART->sInfo_OperatorID,,,,Lot Information Operator ID
1600,BOOLEAN_TYPE,Use Individual Temperature,,&Temperature.bUseIndividualTemp,1,0,0,Use Individual Temperature
1601,FT_8_TYPE,Plate1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHotPlate1],60,-60,0,Plate1 Temperature Single Limit
1602,FT_8_TYPE,Plate2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHotPlate2],60,-60,0,Plate2 Temperature Single Limit
1603,FT_8_TYPE,Shuttle1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcShuttle1],60,-60,0,Shuttle1 Temperature Single Limit
1604,FT_8_TYPE,Shuttle2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcShuttle2],60,-60,0,Shuttle2 Temperature Single Limit
1605,FT_8_TYPE,Head1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHead1],60,-60,0,Head1 Temperature Single Limit
1606,FT_8_TYPE,Head2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHead2],60,-60,0,Head2 Temperature Single Limit
1607,FT_8_TYPE,Head5 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHead3],60,-60,0,Head5 Temperature Single Limit
1608,FT_8_TYPE,Head6 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHead4],60,-60,0,Head6 Temperature Single Limit
1609,FT_8_TYPE,DUT1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcDUT1],60,-60,0,DUT1 Temperature Single Limit
1610,FT_8_TYPE,DUT2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcDUT2],60,-60,0,DUT2 Temperature Single Limit
1611,FT_8_TYPE,Chamber Individual Temperature,,&IniConfig.dSingleTempLimit[tcChamber],60,-60,0,Chamber Individual Temperature
1612,FT_8_TYPE,CCD Individual Temperature,,&IniConfig.dSingleTempLimit[tcCCD],60,-60,0,CCD Individual Temperature
1613,FT_8_TYPE,Aa 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAa1],60,-60,0,Aa 1 Individual Temperature
1614,FT_8_TYPE,Ab 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAb1],60,-60,0,Ab 1 Individual Temperature
1615,FT_8_TYPE,Ac 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAc1],60,-60,0,Ac 1 Individual Temperature
