SVID,Type,Name,Unit,Pointer,Comment
1000,ASCII_TYPE,Machine Define,,&RunInfo.MachineDefine,機台定義
1001,ASCII_TYPE,Machine Model,,&IniConfig.sMachineType,Machine Type
1002,ASCII_TYPE,Machine ID,,&IniConfig.sGPIBMachineID,Machine ID
1003,ASCII_TYPE,Software Version,,&RunInfo.SoftwareVersion,Software Version
1004,ASCII_TYPE,Software Release Date,,&RunInfo.SoftwareDate,Software Release Date
1005,ASCII_TYPE,Factory,,&RunInfo.Factory,Factory
1009,ASCII_TYPE,Lot Start Time,,&RunInfo.LotStartTime,Lot Start Time
1010,ASCII_TYPE,Machine Pre State,,&sMachinePreState,Machine Pre State
1011,ASCII_TYPE,Machine State,,fMain->palMainStatus,Machine Status
1012,ASCII_TYPE,Index Arm1 Torque,,fMain->edTorue0,Index Arm1 Torque
1013,ASCII_TYPE,Index Arm2 Torque,,fMain->edTorue1,Index Arm2 Torque
1014,INT_4_TYPE,Tower Light Red,,&iSECS_GEM_PPSIGNALTOWER_CONTROL_RED,三色燈-紅; 0:關; 1:開; 2:閃爍
1015,INT_4_TYPE,Tower Light Yellow,,&iSECS_GEM_PPSIGNALTOWER_CONTROL_YELLOW,三色燈-紅; 0:關; 1:開; 2:閃爍
1016,INT_4_TYPE,Tower Light Green,,&iSECS_GEM_PPSIGNALTOWER_CONTROL_GREEN,三色燈-紅; 0:關; 1:開; 2:閃爍
1017,INT_4_TYPE,Number of RT,,&LastSet.iAutoRetestCount_ART,Number of RT
1018,ASCII_TYPE,Galil_Driver_Version,,&RunInfo.GalilVersion,Gaili Driver Version
1019,INT_4_TYPE,Machine Pre Status,,&iSECSGEMMachinePreState,Machine PreStatus
1020,INT_4_TYPE,Machine Pre State,,&iSECSGEMMachineState,Machine Pre State
1021,INT_4_TYPE,UPH,,&RunInfo.iUPH,UPH
1023,ASCII_TYPE,Index Time,,&RunInfo.IndexTime,Index Time
1024,ASCII_TYPE,Index Cycle Time,,&RunInfo.IndexCycleTime,Index Cycle Time
1025,ASCII_TYPE,Test Time,,&RunInfo.TestTime,Test Time
1026,ASCII_TYPE,MTBA,,&RunInfo.MTBA,MTBA
1027,ASCII_TYPE,System Time,,&RunInfo.SystemTime,System Time
1028,ASCII_TYPE,Avg UPH,,&RunInfo.iAvgUPH,Average UPH
1031,ASCII_TYPE,MUBA,,&RunInfo.MUBA,MUBA
1032,INT_4_TYPE,Power On Time,,&LastSet.SystemAccSecond[0][stPowerOn],Power On Time
1033,INT_4_TYPE,Running Time,,&LastSet.SystemAccSecond[0][stStartTime],Running Time
1034,INT_4_TYPE,Production Time,,&LastSet.SystemAccSecond[0][stProductTime],Production Time
1035,INT_4_TYPE,Pause Time,,&LastSet.SystemAccSecond[0][stPauseTime],Pause Time
1036,INT_4_TYPE,Jam Count,,&LastSet.iJamCount[1],Jam Count
1040,INT_4_TYPE,ATC SYSTEM,,&ATC_SYSTEM,ATC SYSTEM
1041,ASCII_TYPE,EP Penconder,,fMain->lbEPenconder,EP Penconder
1043,BOOLEAN_TYPE,ATC State,,&iATCOnLine,ATC State
1044,BOOLEAN_TYPE,ATC RUN,,&bRunATC,ATC RUN
1045,ASCII_TYPE,ATC Chiller,,&bRunATC,ATC Chiller
1046,ASCII_TYPE,Chiller Temp,,&Temperature.iATCChillerTemp,Chiller Temp
1047,FT_8_TYPE,Read KG,,fContact->lblEPValueKg,Read KG
1048,ASCII_TYPE,Test Arm EP value transform to Kg,,fContact->lblEPValueKg,Test Arm EP value transform to Kg
1049,INT_4_TYPE,Which Arm is in socket area,,&iWhichArmDown,Which Arm is in socket area
1050,ASCII_TYPE,Lot End Time,,&RunInfo.LotEndTime,Lot End Time
1051,ASCII_TYPE,Hot Plate1 Temperature,,&RunInfo.ShowTempComp[tcHotPlate1],Hot Plate1 Temperature
1052,ASCII_TYPE,Hot Plate2 Temperature,,&RunInfo.ShowTempComp[tcHotPlate2],Hot Plate2 Temperature
1053,ASCII_TYPE,Shuttle1 Temperature,,&RunInfo.ShowTempComp[tcShuttle1],Shuttle1 Temperature
1054,ASCII_TYPE,Shuttle2 Temperature,,&RunInfo.ShowTempComp[tcShuttle2],Shuttle2 Temperature
1055,ASCII_TYPE,Head1 Temperature,,&RunInfo.ShowTempComp[tcHead1],Head1 Temperature
1056,ASCII_TYPE,Head2 Temperature,,&RunInfo.ShowTempComp[tcHead2],Head2 Temperature
1057,ASCII_TYPE,Head5 Temperature,,&RunInfo.ShowTempComp[tcHead3],Head5 Temperature
1058,ASCII_TYPE,Head6 Temperature,,&RunInfo.ShowTempComp[tcHead4],Head6 Temperature
1059,ASCII_TYPE,DUT1 Temperature,,&RunInfo.ShowTempComp[tcDUT1],DUT1 Temperature
1060,ASCII_TYPE,DUT2 Temperature,,&RunInfo.ShowTempComp[tcDUT2],DUT2 Temperature
1061,ASCII_TYPE,Chamber Temperature,,&RunInfo.ShowTempComp[tcChamber],Chamber Temperature
1062,ASCII_TYPE,CCD Temperature,,&RunInfo.ShowTempComp[tcCCD],CCD Temperature
1063,ASCII_TYPE,Aa 1 Temperature,,&RunInfo.ShowTempComp[tcAa1],Aa 1 Temperature
1064,ASCII_TYPE,Ab 1 Temperature,,&RunInfo.ShowTempComp[tcAb1],Ab 1 Temperature
1065,ASCII_TYPE,Ac 1 Temperature,,&RunInfo.ShowTempComp[tcAc1],Ac 1 Temperature
1066,ASCII_TYPE,Ad 1 Temperature,,&RunInfo.ShowTempComp[tcAd1],Ad 1 Temperature
1067,ASCII_TYPE,Ba 1 Temperature,,&RunInfo.ShowTempComp[tcBa1],Ba 1 Temperature
1068,ASCII_TYPE,Bb 1 Temperature,,&RunInfo.ShowTempComp[tcBb1],Bb 1 Temperature
1069,ASCII_TYPE,Bc 1 Temperature,,&RunInfo.ShowTempComp[tcBc1],Bc 1 Temperature
1070,ASCII_TYPE,Bd 1 Temperature,,&RunInfo.ShowTempComp[tcBd1],Bd 1 Temperature
1071,ASCII_TYPE,Aa 2 Temperature,,&RunInfo.ShowTempComp[tcAa2],Aa 2 Temperature
1072,ASCII_TYPE,Ab 2 Temperature,,&RunInfo.ShowTempComp[tcAb2],Ab 2 Temperature
1073,ASCII_TYPE,Ac 2 Temperature,,&RunInfo.ShowTempComp[tcAc2],Ac 2 Temperature
1074,ASCII_TYPE,Ad 2 Temperature,,&RunInfo.ShowTempComp[tcAd2],Ad 2 Temperature
1075,ASCII_TYPE,Ba 2 Temperature,,&RunInfo.ShowTempComp[tcBa2],Ba 2 Temperature
1076,ASCII_TYPE,Bb 2 Temperature,,&RunInfo.ShowTempComp[tcBb2],Bb 2 Temperature
1077,ASCII_TYPE,Bc 2 Temperature,,&RunInfo.ShowTempComp[tcBc2],Bc 2 Temperature
1078,ASCII_TYPE,Bd 2 Temperature,,&RunInfo.ShowTempComp[tcBd2],Bd 2 Temperature
1079,ASCII_TYPE,Heat Gun 1 Temperature,,&RunInfo.ShowTempComp[tcHeatGun1],Heat Gun 1 Temperature
1080,ASCII_TYPE,Heat Gun 2 Temperature,,&RunInfo.ShowTempComp[tcHeatGun2],Heat Gun 2 Temperature
1081,ASCII_TYPE,DUT 3 Temperature,,&RunInfo.ShowTempComp[tcDUT3],DUT 3 Temperature
1082,ASCII_TYPE,DUT 4 Temperature,,&RunInfo.ShowTempComp[tcDUT4],DUT 4 Temperature
1083,ASCII_TYPE,Socket Temperature,,&RunInfo.ShowTempComp[tcSocket],Socket Temperature
1084,ASCII_TYPE,Ae 1 Temperature,,&RunInfo.ShowTempComp[tcAe1],Ae 1 Temperature
1085,ASCII_TYPE,Af 1 Temperature,,&RunInfo.ShowTempComp[tcAf1],Af 1 Temperature
1086,ASCII_TYPE,Ag 1 Temperature,,&RunInfo.ShowTempComp[tcAg1],Ag 1 Temperature
1087,ASCII_TYPE,Ah 1 Temperature,,&RunInfo.ShowTempComp[tcAh1],Ah 1 Temperature
1088,ASCII_TYPE,Be 1 Temperature,,&RunInfo.ShowTempComp[tcBe1],Be 1 Temperature
1089,ASCII_TYPE,Bf 1 Temperature,,&RunInfo.ShowTempComp[tcBf1],Bf 1 Temperature
1090,ASCII_TYPE,Bg 1 Temperature,,&RunInfo.ShowTempComp[tcBg1],Bg 1 Temperature
1091,ASCII_TYPE,Bh 1 Temperature,,&RunInfo.ShowTempComp[tcBh1],Bh 1 Temperature
1092,ASCII_TYPE,Ae 2 Temperature,,&RunInfo.ShowTempComp[tcAe2],Ae 2 Temperature
1093,ASCII_TYPE,Af 2 Temperature,,&RunInfo.ShowTempComp[tcAf2],Af 2 Temperature
1094,ASCII_TYPE,Ag 2 Temperature,,&RunInfo.ShowTempComp[tcAg2],Ag 2 Temperature
1095,ASCII_TYPE,Ah 2 Temperature,,&RunInfo.ShowTempComp[tcAh2],Ah 2 Temperature
1096,ASCII_TYPE,Be 2 Temperature,,&RunInfo.ShowTempComp[tcBe2],Be 2 Temperature
1097,ASCII_TYPE,Bf 2 Temperature,,&RunInfo.ShowTempComp[tcBf2],Bf 2 Temperature
1098,ASCII_TYPE,Bg 2 Temperature,,&RunInfo.ShowTempComp[tcBg2],Bg 2 Temperature
1099,ASCII_TYPE,Bh 2 Temperature,,&RunInfo.ShowTempComp[tcBh2],Bh 2 Temperature
1101,INT_4_TYPE,Loader Count,,&LastSet.SendCT[0],Loading Count
1102,INT_4_TYPE,Output Total Count,,&RunInfo.iUnloadCount,Unloading Count
1103,INT_4_TYPE,Auto1 Count,,&LastSet.BinCT[0][e3Auto1],Auto1 Count
1104,INT_4_TYPE,Auto2 Count,,&LastSet.BinCT[0][e3Auto2],Auto2 Count
1105,INT_4_TYPE,Auto3 Count,,&LastSet.BinCT[0][e3Auto3],Auto3 Count
1106,INT_4_TYPE,Fix1 Count,,&LastSet.BinCT[0][e3Fix1 ],Fix1 Count
1107,INT_4_TYPE,Fix2 Count,,&LastSet.BinCT[0][e3Fix2 ],Fix2 Count
1108,INT_4_TYPE,Fix3 Count,,&LastSet.BinCT[0][e3Fix3 ],Fix3 Count
1109,INT_4_TYPE,Fix4 Count,,&LastSet.BinCT[0][e3Fix4 ],Fix4 Count
1110,INT_4_TYPE,Fix5 Count,,&LastSet.BinCT[0][e3Fix5 ],Fix5 Count
1111,INT_4_TYPE,Fix6 Count,,&LastSet.BinCT[0][e3Fix6 ],Fix6 Count
1112,INT_4_TYPE,Loader Count ART,,&LastSet.SendCT_ART[0],ART Loading Count
1113,INT_4_TYPE,Output Total Count ART,,&RunInfo.iUnloadCount_ART,ART Unloading Count
1114,INT_4_TYPE,Auto1 Count ART,,&LastSet.BinCT_ART[0][e3Auto1],ART Auto1 Count
1115,INT_4_TYPE,Auto2 Count ART,,&LastSet.BinCT_ART[0][e3Auto2],ART Auto2 Count
1116,INT_4_TYPE,Auto3 Count ART,,&LastSet.BinCT_ART[0][e3Auto3],ART Auto3 Count
1117,INT_4_TYPE,Fix1 Count ART,,&LastSet.BinCT_ART[0][e3Fix1 ],ART Fix1 Count
1118,INT_4_TYPE,Fix2 Count ART,,&LastSet.BinCT_ART[0][e3Fix2 ],ART Fix2 Count
1119,INT_4_TYPE,Fix3 Count ART,,&LastSet.BinCT_ART[0][e3Fix3 ],ART Fix3 Count
1120,INT_4_TYPE,Fix4 Count ART,,&LastSet.BinCT_ART[0][e3Fix4 ],ART Fix4 Count
1121,INT_4_TYPE,Fix5 Count ART,,&LastSet.BinCT_ART[0][e3Fix5 ],ART Fix5 Count
1122,INT_4_TYPE,Fix6 Count ART,,&LastSet.BinCT_ART[0][e3Fix6 ],ART Fix6 Count
1123,INT_4_TYPE,Bin 0 Count ART,,&LastSet.iBinData32_ART[0][0],ART Bin 0 Count
1124,INT_4_TYPE,Bin 1 Count ART,,&LastSet.iBinData32_ART[0][1],ART Bin 1 Count
1125,INT_4_TYPE,Bin 2 Count ART,,&LastSet.iBinData32_ART[0][2],ART Bin 2 Count
1126,INT_4_TYPE,Bin 3 Count ART,,&LastSet.iBinData32_ART[0][3],ART Bin 3 Count
1127,INT_4_TYPE,Bin 4 Count ART,,&LastSet.iBinData32_ART[0][4],ART Bin 4 Count
1128,INT_4_TYPE,Bin 5 Count ART,,&LastSet.iBinData32_ART[0][5],ART Bin 5 Count
1129,INT_4_TYPE,Bin 6 Count ART,,&LastSet.iBinData32_ART[0][6],ART Bin 6 Count
1130,INT_4_TYPE,Bin 7 Count ART,,&LastSet.iBinData32_ART[0][7],ART Bin 7 Count
1131,INT_4_TYPE,Bin 8 Count ART,,&LastSet.iBinData32_ART[0][8],ART Bin 8 Count
1132,INT_4_TYPE,Bin 9 Count ART,,&LastSet.iBinData32_ART[0][9],ART Bin 9 Count
1133,INT_4_TYPE,Bin 10 Count ART,,&LastSet.iBinData32_ART[0][10],ART Bin 10 Count
1134,INT_4_TYPE,Bin 11 Count ART,,&LastSet.iBinData32_ART[0][11],ART Bin 11 Count
1135,INT_4_TYPE,Bin 12 Count ART,,&LastSet.iBinData32_ART[0][12],ART Bin 12 Count
1136,INT_4_TYPE,Bin 13 Count ART,,&LastSet.iBinData32_ART[0][13],ART Bin 13 Count
1137,INT_4_TYPE,Bin 14 Count ART,,&LastSet.iBinData32_ART[0][14],ART Bin 14 Count
1138,INT_4_TYPE,Bin 15 Count ART,,&LastSet.iBinData32_ART[0][15],ART Bin 15 Count
1139,INT_4_TYPE,ATR FT PassCount,,&iATRPassCount[0],ATR FT Pass TotalCount
1140,INT_4_TYPE,ATR FT FailCount,,&iATRFailCount[0],ATR FT Fail TotalCount
1141,INT_4_TYPE,ATR FT LoaderCount,,&iATRTotalCount[0],ATR FT Loader TotalCount
1142,INT_4_TYPE,ATR RT PassCount,,&iATRPassCount[1],ATR RT Pass TotalCount
1143,INT_4_TYPE,ATR RT FailCount,,&iATRFailCount[1],ATR RT Fail TotalCount
1144,INT_4_TYPE,ATR RT LoaderCount,,&iATRTotalCount[1],ATR RT Loader TotalCount
1151,ASCII_TYPE,Auto1 Yield,,&RunInfo.sT6AutoYield[eAuto1],Auto 1 Yield
1152,ASCII_TYPE,Auto2 Yield,,&RunInfo.sT6AutoYield[eAuto2],Auto 2 Yield
1153,ASCII_TYPE,Auto3 Yield,,&RunInfo.sT6AutoYield[eAuto3],Auto 3 Yield
1154,ASCII_TYPE,Fix1 Yield,,&RunInfo.sT6AutoYield[eFix1 ],Fix 1 Yield
1155,ASCII_TYPE,Fix2 Yield,,&RunInfo.sT6AutoYield[eFix2 ],Fix 2 Yield
1156,ASCII_TYPE,Fix3 Yield,,&RunInfo.sT6AutoYield[eFix3 ],Fix 3 Yield
1157,ASCII_TYPE,Fix4 Yield,,&RunInfo.sT6AutoYield[eFix4 ],Fix 4 Yield
1158,ASCII_TYPE,Fix5 Yield,,&RunInfo.sT6AutoYield[eFix5 ],Fix 5 Yield
1159,ASCII_TYPE,Fix6 Yield,,&RunInfo.sT6AutoYield[eFix6 ],Fix 6 Yield
