"File","FullPath","Line","Code","Divisor"
"adam6024.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\adam6024.cpp","1481","fInputFInd=fInputKGIndRel/dTempInd;","dTempInd"
"adam6024.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\adam6024.cpp","1494","fInputF=fInputKG/dTemp;","dTemp"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ainarm9045.cpp","4355","iYPitchStep=(iYPitch==0)?0:(AutoCalculateInArmYClosePitch()/iYPitch);//RogerYang 20250618 防止除以零     //ChungHung 20131231 alter AutoYPitch","iYPitch"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ainarm9045.cpp","4365","iYPitchStep=(iYPitch==0)?0:(TestIF.iARM_Y_PITCH/iYPitch);           //RogerYang 20250618 防止除以零","iYPitch"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ainarm9045.cpp","4973","fTimerMultiple=3600/fConsumeSecond;","fConsumeSecond"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ainarm9045.cpp","5036","RunInfo.iAvgUPH=AnsiString((iCount==0)?0:iTotalUPH/iCount);","iCount"
"ainarm_SearchPlacePlate.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ainarm_SearchPlacePlate.cpp","138","iYHalf=(iYPitch==0)?0:(TestIF.iARM_HP_Y_PITCH/iYPitch);             //RogerYang 20250618 防止除以零","iYPitch"
"ainarm_SearchPlacePlate.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\ainarm_SearchPlacePlate.cpp","4361","int iRunRute=(iYPitch==0)?0:(TestIF.iARM_HP_Y_PITCH/iYPitch);               //RogerYang 20250618 防止除以零  //ChungHung 20120505 9045WS","iYPitch"
"asendic.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\asendic.cpp","106","LastSet.iLoaderTraySimulateTime=sum/ct;","ct"
"asendic.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\asendic.cpp","1260","LastSet.iUnLoaderTraySimulateTime[pos]=sum/ct;","ct"
"atester.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\atester.cpp","1358","if(TestIF.iSiteMap[i%MAX_SOCKET_ROW][i/MAX_SOCKET_ROW]-1>=0)","MAX_SOCKET_ROW"
"atester.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\atester.cpp","1363","if(TestIF.iSiteMap[i%MAX_SOCKET_ROW][i/MAX_SOCKET_ROW]-1>=0)","MAX_SOCKET_ROW"
"atester.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\atester.cpp","1367","if(TestIF.iSiteMap[i%MAX_SOCKET_ROW][i/MAX_SOCKET_ROW]-1>=0)","MAX_SOCKET_ROW"
"atester_ProcessCount.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\atester_ProcessCount.cpp","1354","dYield=(double)ipass*100/sum;","sum"
"bthermo.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\bthermo.cpp","586","s=iHighBase+(T-Temp[ct2])/m;","m"
"bthermo.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\bthermo.cpp","979","fReturnData=fTotal/iCT;","iCT"
"cContact.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cContact.cpp","16953","iPinCount=dForce/dPinForce;","dPinForce"
"cContact.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cContact.cpp","16982","dPinForce=dForce/dPinCount;","dPinCount"
"cContact.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cContact.cpp","19893","iRow=idata/iXItem;","iXItem"
"cContactCT.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cContactCT.cpp","1304","dYield=(double)ipass*100/sum;","sum"
"cMyDB.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cMyDB.cpp","368","LastSet.SystemAccSecond[iDataType][stJamTime])/1000) / LastSet.iJamCount[2];","LastSet"
"cmydef.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cmydef.cpp","5816","return (double(iSECSGEMPass)/dvalue)*100.0;","dvalue"
"cObserver.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cObserver.cpp","2101","fObserver->strngrdTestTime->Cells[3][14]=ConvertMSecToSPC(iTestTime/iCount);","iCount"
"cObserver.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cObserver.cpp","2106","fObserver->strngrdTestTime->Cells[4][14]=ConvertMSecToSPC(iCycleTime/iCount2);","iCount2"
"cObserver.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cObserver.cpp","2840","fRecordIndexTime[11]=fAve/iCT;","iCT"
"cObserver.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cObserver.cpp","2994","fRecordInArmTime[11]=fAve/iCT;","iCT"
"cObserver.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cObserver.cpp","3691","iMins=iMins/dJamCount;                                              //Isaac 20180417 (Steven) 修正MTBF公式(pause+production+jam)/jamcount","dJamCount"
"cObserver.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cObserver.cpp","3708","iUnit=dLoadingCount/dJamCount;","dJamCount"
"cObserver.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cObserver.cpp","3724","iUPH=dLoadingCount/dTime;","dTime"
"cObserver.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cObserver.cpp","5048","strngrdMDBQuery->Cells[1][iStartRow3+5]=ConvertSecondToSPC(iDownTimeSum/iAllJamCount);","iAllJamCount"
"Command.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\Command.cpp","13060","sData2.sprintf(""%0.2f"",LastSet.iBinData32[2][i]*100.0/dData1);  //Sam 20230913 : 0 > 2 修正回傳異常","dData1"
"cprod.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cprod.cpp","1023","if((iDailyCount/iJamCount)<1)","iJamCount"
"cprod.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cprod.cpp","1026","str.sprintf(""MUBJ: 1/%d"", iDailyCount/iJamCount);","iJamCount"
"cprod.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cprod.cpp","1226","if((TastCategory.iTotalSocket/iJamCount)<1)","iJamCount"
"cprod.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cprod.cpp","1229","str.sprintf(""MUBJ: 1/%d"", TastCategory.iTotalSocket/iJamCount);","iJamCount"
"cSetUp.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cSetUp.cpp","145","iRow=i/MAX_SOCKET_COL;","MAX_SOCKET_COL"
"cSetUp.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cSetUp.cpp","1268","iRow1=i/MAX_SOCKET_COL;","MAX_SOCKET_COL"
"cSetUp.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cSetUp.cpp","1270","iRow2=j/MAX_SOCKET_COL;","MAX_SOCKET_COL"
"cShowBinSelect.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cShowBinSelect.cpp","2028","RunInfo.iAvgUPH=(iCount==0)?0:iTotalUPH/iCount;","iCount"
"cShowBinSelect.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cShowBinSelect.cpp","2214","UPH=PassSum*3600/PassSec;","PassSec"
"cShowBinSet.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cShowBinSet.cpp","59","iRow=i/MAX_SOCKET_COL;","MAX_SOCKET_COL"
"cSortCT.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cSortCT.cpp","927","fYield=(double)(ipass-iIntervalYield_StartPassCount)*100/sum;","sum"
"cStartCondition.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\cStartCondition.cpp","65","iRow=i/MAX_SOCKET_COL;","MAX_SOCKET_COL"
"HS_Function.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\HS_Function.cpp","4008","iInterVal=iNowTime/iTime;","iTime"
"HS_Function.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\HS_Function.cpp","4042","iInterVal=iNowTime/iTime;","iTime"
"HS_Function.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\HS_Function.cpp","4075","iInterVal=iNowTime/iTime;","iTime"
"main.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\main.cpp","13297","iFailYield=iFail*100/sum;","sum"
"main.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\main.cpp","21047","RunInfo.iYieldChart[i][j][0]=lPass*100/lTotal;","lTotal"
"TfAOILaserScan.cpp","D:\HT9045\HT9011UC_Code_V3.33.898.0_20260313_Steven\TfAOILaserScan.cpp","1174","if(iRow<=(i/iCol))","iCol"
