"File","FullPath","Line","OldExpr","NewExpr","Numerator","Denominator","OrigLine"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","130","((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)(((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))), (double)(iPitch_Max_minus_Min))","((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))","iPitch_Max_minus_Min","m=((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))/iPitch_Max_minus_Min;"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","142","((double)(dX120[iX]-dX_40[iX]))/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)(((double)(dX120[iX]-dX_40[iX]))), (double)(iPitch_Max_minus_Min))","((double)(dX120[iX]-dX_40[iX]))","iPitch_Max_minus_Min","m=((double)(dX120[iX]-dX_40[iX]))/iPitch_Max_minus_Min;"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","166","((double)(Prod.iInArmX120Pitch2-Prod.iInArmX40Pitch2))/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)(((double)(Prod.iInArmX120Pitch2-Prod.iInArmX40Pitch2))), (double)(iPitch_Max_minus_Min))","((double)(Prod.iInArmX120Pitch2-Prod.iInArmX40Pitch2))","iPitch_Max_minus_Min","m=((double)(Prod.iInArmX120Pitch2-Prod.iInArmX40Pitch2))/iPitch_Max_minus_Min;     //Steven 20131002 : XY變距        //Isaac 20171204 (Steven) : Xpitch40->50mm, 新增150mm的Teaching點位，內差法公式計算"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","4380","indexCol/LoadForm->XDivision","ChangeToFloatNonPcnt((double)(indexCol), (double)(LoadForm->XDivision))","indexCol","LoadForm->XDivision","iXPos=iXPos+((indexCol/LoadForm->XDivision)*LoadForm->BlockPitchX);"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","4381","indexCol/LoadForm->XDivision","ChangeToFloatNonPcnt((double)(indexCol), (double)(LoadForm->XDivision))","indexCol","LoadForm->XDivision","iXPos=iXPos-((indexCol/LoadForm->XDivision)*(LoadForm->XPitch*LoadForm->XDivision));"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","4385","indexRow/LoadForm->YDivision","ChangeToFloatNonPcnt((double)(indexRow), (double)(LoadForm->YDivision))","indexRow","LoadForm->YDivision","iYPos=iYPos-((indexRow/LoadForm->YDivision)*LoadForm->BlockPitchY);"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","4386","indexRow/LoadForm->YDivision","ChangeToFloatNonPcnt((double)(indexRow), (double)(LoadForm->YDivision))","indexRow","LoadForm->YDivision","iYPos=iYPos+((indexRow/LoadForm->YDivision)*(LoadForm->YPitch*LoadForm->YDivision));"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","5240","AutoCalculateInArmYClosePitch()/LoadForm->YPitch","ChangeToFloatNonPcnt((double)(AutoCalculateInArmYClosePitch()), (double)(LoadForm->YPitch))","AutoCalculateInArmYClosePitch()","LoadForm->YPitch","iInArmYStep=AutoCalculateInArmYClosePitch()/LoadForm->YPitch;"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","5856","iInArmBlockIndex/LoadForm->BlockXItem","ChangeToFloatNonPcnt((double)(iInArmBlockIndex), (double)(LoadForm->BlockXItem))","iInArmBlockIndex","LoadForm->BlockXItem","YArea=BY+(iInArmBlockIndex/LoadForm->BlockXItem*BY);"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","5872","iInArmBlockIndex/LoadForm->BlockXItem","ChangeToFloatNonPcnt((double)(iInArmBlockIndex), (double)(LoadForm->BlockXItem))","iInArmBlockIndex","LoadForm->BlockXItem","YArea=BY+(iInArmBlockIndex/LoadForm->BlockXItem*BY);"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","7893","((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)(((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))), (double)(iPitch_Max_minus_Min))","((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))","iPitch_Max_minus_Min","m=((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))/iPitch_Max_minus_Min;"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","7894","(iMotPulse-Prod.iInArmX40Pitch)/m","ChangeToFloatNonPcnt((double)((iMotPulse-Prod.iInArmX40Pitch)), (double)(m))","(iMotPulse-Prod.iInArmX40Pitch)","m","r=(double)(iMotPulse-Prod.iInArmX40Pitch)/m;"
"ainarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\ainarm9045.cpp","7905","(iMotPulse-Prod.iInArmY15Pitch)/m","ChangeToFloatNonPcnt((double)((iMotPulse-Prod.iInArmY15Pitch)), (double)(m))","(iMotPulse-Prod.iInArmY15Pitch)","m","r=(double)(iMotPulse-Prod.iInArmY15Pitch)/m;"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","1311","TestIF.iARM_Y_PITCH/AutoForm[iWhichAuto]->YPitch","ChangeToFloatNonPcnt((double)(TestIF.iARM_Y_PITCH), (double)(AutoForm[iWhichAuto]->YPitch))","TestIF.iARM_Y_PITCH","AutoForm[iWhichAuto]->YPitch","iyStart=iRecY+(TestIF.iARM_Y_PITCH/AutoForm[iWhichAuto]->YPitch); //ChungHung 20120505 9045WS"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","1537","AutoCalculateOutArmYClosePitch(iWhichAuto)/AutoForm[iWhichAuto]->YPitch","ChangeToFloatNonPcnt((double)(AutoCalculateOutArmYClosePitch(iWhichAuto)), (double)(AutoForm[iWhichAuto]->YPitch))","AutoCalculateOutArmYClosePitch(iWhichAuto)","AutoForm[iWhichAuto]->YPitch","iOutArmYStep=AutoCalculateOutArmYClosePitch(iWhichAuto)/AutoForm[iWhichAuto]->YPitch;   //Steven 20230523 : LoadForm->YPitch --> AutoForm[iWhichAuto]->YPitch"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","1857","MOT[Motor].Tray.XItem/AutoForm[iWhichAuto]->BlockXItem","ChangeToFloatNonPcnt((double)(MOT[Motor].Tray.XItem), (double)(AutoForm[iWhichAuto]->BlockXItem))","MOT[Motor].Tray.XItem","AutoForm[iWhichAuto]->BlockXItem","BX=MOT[Motor].Tray.XItem/AutoForm[iWhichAuto]->BlockXItem;"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","1858","MOT[Motor].Tray.YItem/AutoForm[iWhichAuto]->BlockYItem","ChangeToFloatNonPcnt((double)(MOT[Motor].Tray.YItem), (double)(AutoForm[iWhichAuto]->BlockYItem))","MOT[Motor].Tray.YItem","AutoForm[iWhichAuto]->BlockYItem","BY=MOT[Motor].Tray.YItem/AutoForm[iWhichAuto]->BlockYItem;"
