"File","Line","Status","Old","New"
"ainarm9045.cpp","7905","OK","(iMotPulse-Prod.iInArmY15Pitch)/m","ChangeToFloatNonPcnt((double)((iMotPulse-Prod.iInArmY15Pitch)), (double)(m))"
"ainarm9045.cpp","7894","OK","(iMotPulse-Prod.iInArmX40Pitch)/m","ChangeToFloatNonPcnt((double)((iMotPulse-Prod.iInArmX40Pitch)), (double)(m))"
"ainarm9045.cpp","7893","OK","((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)(((double)(Prod.iInArmX120Pitch-Prod.iInArmX40Pitch))), (double)(iPitch_Max_minus_Min))"
"ainarm9045.cpp","5872","OK","iInArmBlockIndex/LoadForm->BlockXItem","ChangeToFloatNonPcnt((double)(iInArmBlockIndex), (double)(LoadForm->BlockXItem))"
"ainarm9045.cpp","5856","OK","iInArmBlockIndex/LoadForm->BlockXItem","ChangeToFloatNonPcnt((double)(iInArmBlockIndex), (double)(LoadForm->BlockXItem))"
"ainarm9045.cpp","5850","OK","MOT[MMTrayY].Tray.YItem / LoadForm->BlockYItem","ChangeToFloatNonPcnt((double)(MOT[MMTrayY].Tray.YItem), (double)(LoadForm->BlockYItem))"
"ainarm9045.cpp","5849","OK","MOT[MMTrayY].Tray.XItem / LoadForm->BlockXItem","ChangeToFloatNonPcnt((double)(MOT[MMTrayY].Tray.XItem), (double)(LoadForm->BlockXItem))"
"ainarm9045.cpp","5240","OK","AutoCalculateInArmYClosePitch()/LoadForm->YPitch","ChangeToFloatNonPcnt((double)(AutoCalculateInArmYClosePitch()), (double)(LoadForm->YPitch))"
"ainarm9045.cpp","4386","OK","indexRow/LoadForm->YDivision","ChangeToFloatNonPcnt((double)(indexRow), (double)(LoadForm->YDivision))"
"ainarm9045.cpp","4385","OK","indexRow/LoadForm->YDivision","ChangeToFloatNonPcnt((double)(indexRow), (double)(LoadForm->YDivision))"
"ainarm9045.cpp","4381","OK","indexCol/LoadForm->XDivision","ChangeToFloatNonPcnt((double)(indexCol), (double)(LoadForm->XDivision))"
"ainarm9045.cpp","4380","OK","indexCol/LoadForm->XDivision","ChangeToFloatNonPcnt((double)(indexCol), (double)(LoadForm->XDivision))"
"ainarm9045.cpp","166","OK","((double)(Prod.iInArmX120Pitch2-Prod.iInArmX40Pitch2))/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)(((double)(Prod.iInArmX120Pitch2-Prod.iInArmX40Pitch2))), (double)(iPitch_Max_minus_Min))"
