date,agent,file,line,status,comment
20260331,ht9045-v899,Command.cpp,13310,same-file,//AI(ht9045-v899) 20260331: 擴展支援 bRemoteLotStart (Greatek/OEE)
20260331,ht9045-v899,Command.cpp,13883,same-file,//AI(ht9045-v899) 20260331: Greatek TCP Remote Start Lot
20260331,ht9045-v899,Command.cpp,13927,same-file,//AI(ht9045-v899) 20260331: Greatek TCP Remote End Lot
20260331,ht9045-v899,CosFunction.cpp,1389,same-file,//AI(ht9045-v899) 20260331: Greatek TCP Remote Start Lot (HTSET 720)
20260331,ht9045-v899,CosFunction.cpp,4196,same-file,//AI(ht9045-v899) 20260331: Greatek TCP Remote Start Lot (HTSET 720)
20260331,ht9045-v899,CosFunction.h,237,same-file,//AI(ht9045-v899) 20260331: Greatek TCP Remote Start Lot (HTSET 720)
20260401,ht9045-v899,SECSGEM\uHGemHT9045_SV.cpp,360,MISSING,//AI(ht9045-v899) 20260401: Add LB Up/Down temperature and limits for SECS collection
20260405,ht9045-v899,cSiteUseManager.cpp,1,same-file,//AI(ht9045-v899) 20260405: Phase0 SiteUseManager implementation - read-only queries over existing globals
20260405,ht9045-v899,cSiteUseManager.cpp,26,same-file,//AI(ht9045-v899) 20260405: Phase4 load switch from Gerneral.ini [SiteUseMgr] section
20260405,ht9045-v899,cSiteUseManager.cpp,172,same-file,//AI(ht9045-v899) 20260405: Phase1 shadow verification - log HP state before SearchPlateToPlace
20260405,ht9045-v899,cSiteUseManager.cpp,188,same-file,//AI(ht9045-v899) 20260405: Phase1 shadow verification - log HP cell state after place attempt
20260405,ht9045-v899,cSiteUseManager.cpp,200,same-file,//AI(ht9045-v899) 20260405: Phase2 validate SearchPlateToPlace result
20260405,ht9045-v899,cSiteUseManager.cpp,262,same-file,//AI(ht9045-v899) 20260405: Phase3 algorithm switch accessors
20260405,ht9045-v899,cSiteUseManager.cpp,282,same-file,//AI(ht9045-v899) 20260405: Phase5 compact search with edge-case protection
20260405,ht9045-v899,cSiteUseManager.cpp,304,same-file,//AI(ht9045-v899) 20260405: Phase5B bPitchOver12000 downgrade to 1x1 scan
20260405,ht9045-v899,cSiteUseManager.cpp,311,same-file,//AI(ht9045-v899) 20260405: Phase5B Row2CanPutHP/HotPlateYPitchCanPutAll guard
20260405,ht9045-v899,cSiteUseManager.cpp,323,same-file,//AI(ht9045-v899) 20260405: Phase5B AutoClean HP2 Y-offset skip
20260405,ht9045-v899,cSiteUseManager.cpp,344,same-file,//AI(ht9045-v899) 20260405: Phase5B skip AutoClean reserved zone on HP2(plate=0)
20260405,ht9045-v899,cSiteUseManager.cpp,348,same-file,//AI(ht9045-v899) 20260405: Phase6 skip positions that would exceed motor soft limit
20260405,ht9045-v899,cSiteUseManager.cpp,403,same-file,//AI(ht9045-v899) 20260405: Phase6 motor soft limit pre-check
20260405,ht9045-v899,cSiteUseManager.cpp,415,same-file,//AI(ht9045-v899) 20260405: Phase6 check if ANY HP cell is reachable by current nozzles
20260405,ht9045-v899,cSiteUseManager.h,1,same-file,//AI(ht9045-v899) 20260405: Phase0 SiteUseManager read-only facade for nozzle/HP site queries
20260405,ht9045-v899,cSiteUseManager.h,39,same-file,//AI(ht9045-v899) 20260405: Phase1 shadow verification logging
20260405,ht9045-v899,cSiteUseManager.h,44,same-file,//AI(ht9045-v899) 20260405: Phase2 SearchPlateToPlace result validation
20260405,ht9045-v899,cSiteUseManager.h,47,same-file,//AI(ht9045-v899) 20260405: Phase3 switchable compact search algorithm
20260405,ht9045-v899,cSiteUseManager.h,53,same-file,//AI(ht9045-v899) 20260405: Phase5A return bool for failure detection
20260405,ht9045-v899,cSiteUseManager.h,56,same-file,//AI(ht9045-v899) 20260405: Phase6 motor soft limit pre-check
20260405,ht9045-v899,cinitial.cpp,11241,same-file,//AI(ht9045-v899) 20260405: Phase4 init SiteUseMgr after HP setup complete
20260407,ht9045-v899,AutoClean\AutoClean.cpp,1645,MISSING,//AI(ht9045-v899) 20260407: cCleanKitPickPlan implementation
20260407,ht9045-v899,AutoClean\AutoClean.cpp,1649,MISSING,//AI(ht9045-v899) 20260407: runtime switch for new/old auto clean search logic
20260407,ht9045-v899,AutoClean\AutoClean.cpp,2112,MISSING,//AI(ht9045-v899) 20260407: dual-path switch  bUseCKPP selects new class vs old logic
20260407,ht9045-v899,AutoClean\AutoClean.cpp,3056,MISSING,//AI(ht9045-v899) 20260407: prevent hang when no clean pads remain
20260407,ht9045-v899,AutoClean\AutoClean.cpp,3092,MISSING,//AI(ht9045-v899) 20260407: AC debug log - PickfromCleanKit Task20 result
20260407,ht9045-v899,AutoClean\AutoClean.cpp,3456,MISSING,//AI(ht9045-v899) 20260407: allow partial pick when inactive suckers have no pad (Fix H)
20260407,ht9045-v899,AutoClean\AutoClean.cpp,3503,MISSING,//AI(ht9045-v899) 20260407: allow partial pick when inactive suckers have no pad (Fix H)
20260407,ht9045-v899,AutoClean\AutoClean.cpp,3556,MISSING,//AI(ht9045-v899) 20260407: allow partial pick when inactive suckers have no pad (Fix H)
