file,date,comment_prefix,reason,wave
AutoClean\uCleaning.cpp,20260430,//AI(ht9045-v899) 20260430: extend AutoClean DieForce to Mul,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
AutoClean\uCleaning.cpp,20260430,//AI(ht9045-v899) 20260430: extend AutoClean DieForce to Mul,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
AutoClean\uCleaning.cpp,20260430,//AI(ht9045-v899) 20260430: extend AutoClean DieForce to Mul,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
ContactForce.cpp,20260430,//AI(ht9045-v899) 20260430: removed iIndEPCnt==8 branch (was,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
ContactForce.cpp,20260430,//AI(ht9045-v899) 20260430: 16 EP independent + Multi EP hal,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
ContactForce.cpp,20260430,//AI(ht9045-v899) 20260430: Multi EP half - show OneByOne ta,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
ContactForce.cpp,20260430,//AI(ht9045-v899) 20260430: ported from V874.3 Ifor.,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
ContactForce.h,20260430,//AI(ht9045-v899) 20260430: Multi EP half (INSTALL_DOUBLE_EP,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
HandlerSys.cpp,20260430,//AI(ht9045-v899) 20260430: removed iIndEPCnt==8 ComboBox op,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
HandlerSys.cpp,20260430,"//AI(ht9045-v899) 20260430: removed case 2 (""8""); INSTALL_DO",MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
adam6024.cpp,20260430,//AI(ht9045-v899) 20260430: Multi EP board (Address[2]=172.1,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
adam6024.cpp,20260430,//AI(ht9045-v899) 20260430: removed iIndEPCnt==8 branch (rol,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
adam6024.cpp,20260430,//AI(ht9045-v899) 20260430: removed iIndEPCnt==8 branch (rol,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
adam6024.cpp,20260430,//AI(ht9045-v899) 20260430: removed iIndEPCnt==8 branch (rol,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
adam6024.cpp,20260430,//AI(ht9045-v899) 20260430: removed iIndEPCnt==8 branch (rol,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
adam6024.cpp,20260430,//AI(ht9045-v899) 20260430: rolled back iIndEPCnt==8 (use IN,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
cContact.cpp,20260430,//AI(ht9045-v899) 20260430: extend to Multi EP half (inner c,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
cmydef.cpp,20260430,//AI(ht9045-v899) 20260430: iAPAXDualEPValue[16] already def,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
cmydef.h,20260430,//AI(ht9045-v899) 20260430: iAPAXDualEPValue[16] already dec,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
database.cpp,20260430,//AI(ht9045-v899) 20260430: removed iIndEPCnt==8 path; repla,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
iosetview.cpp,20260430,//AI(ht9045-v899) 20260430: extend EP voltage display to Mul,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
ContactForce.cpp,20260504,//AI(ht9045-v899) 20260504: full port from V874.3 Ifor (撤回 2,MG-W7判定：V910公司Multi EP實作已有等價/更新(C)、或公司8EP新功能之刪除記錄不可執行(X-none)、或留F3-F6裁決；詳mg_w7_analysis.md,MG-W7
