"File","Line","Author","Date","Desc"
"AutoClean\AutoClean.cpp","1645","ht9045-v899","20260407","cCleanKitPickPlan implementation"
"AutoClean\AutoClean.cpp","1649","ht9045-v899","20260407","runtime switch for new/old auto clean search logic"
"AutoClean\AutoClean.cpp","1650","ht9045-v899","20260514","align comment with actual default (off; legacy SearchCleanKitUpDown is in use)"
"AutoClean\AutoClean.cpp","1652","ht9045-v899","20260408","global plan instance shared across pick/move/check functions"
"AutoClean\AutoClean.cpp","1755","ht9045-v899","20260514","legacy EvaluatePlan removed; enumeration delegated to cArmPickPlan"
"AutoClean\AutoClean.cpp","1756","ht9045-v899","20260514","IArmPickPlanContext implementation begins"
"AutoClean\AutoClean.cpp","1816","ht9045-v899","20260514","preserve legacy """"skip plans where lead has no pad / unreachable"""""
"AutoClean\AutoClean.cpp","1827","ht9045-v899","20260514","translate generic plan back into legacy TPickPlan/TPickSlot"
"AutoClean\AutoClean.cpp","1896","ht9045-v899","20260514","Search() now delegates enumeration to generic cArmPickPlan"
"AutoClean\AutoClean.cpp","1941","ht9045-v899","20260408","check if current shuttle group has any sucker demand"
"AutoClean\AutoClean.cpp","2112","ht9045-v899","20260407","dual-path switch  bUseCKPP selects new class vs old logic"
"AutoClean\AutoClean.cpp","2116","ht9045-v899","20260409","recycle CLEAN_FINISH_IC -> HAS_CLEAN_IC before search so returned pads are reusable"
"AutoClean\AutoClean.cpp","2782","ht9045-v899","20260408","plan-driven pick - iterate plan slots instead of hardcoded j=0..3"
"AutoClean\AutoClean.cpp","2903","ht9045-v899","20260416","revert phantom-marking skip per Gigas feedback - V898 did not have this guard"
"AutoClean\AutoClean.cpp","3040","ht9045-v899","20260408","kit empty but arm has partial pick - skip 3000-3100 loop, go finish (S6)"
"AutoClean\AutoClean.cpp","3056","ht9045-v899","20260407","prevent hang when no clean pads remain"
"AutoClean\AutoClean.cpp","3082","ht9045-v899","20260408","safety net - if CKPP plan not found, return pick complete"
"AutoClean\AutoClean.cpp","3092","ht9045-v899","20260407","AC debug log - PickfromCleanKit Task20 result"
"AutoClean\AutoClean.cpp","3370","ht9045-v899","20260408","unified plan-driven contact count + completion check (S5)"
"AutoClean\AutoClean.cpp","3456","ht9045-v899","20260407","allow partial pick when inactive suckers have no pad (Fix H)"
"AutoClean\AutoClean.cpp","3503","ht9045-v899","20260407","allow partial pick when inactive suckers have no pad (Fix H)"
"AutoClean\AutoClean.cpp","3556","ht9045-v899","20260407","allow partial pick when inactive suckers have no pad (Fix H)"
"AutoClean\AutoClean.cpp","5116","ht9045-v899","20260408","purge phantom HAS_NULL_CLEAN_IC from InArm before dispatch"
"AutoClean\AutoClean.cpp","5199","ht9045-v899","20260417","revert to V898 logic - premature CLEAN_FINISH_IC recycling caused pick to restart from col 0 instead of continuing right half"
