ECID,Type,Name,Unit,Pointer,Max,Min,Default,Comment,Line,SourceRef
1006,ASCII_TYPE,Lot ID,,fLotInfo->edtSysLotID,,,,Lot ID,59,SECSGEM/uHGemHT9045_EC.cpp#L59
1007,ASCII_TYPE,Operator ID,,fLotInfo->edtSysOperatorID,,,,Operator ID,60,SECSGEM/uHGemHT9045_EC.cpp#L60
1191,BOOLEAN_TYPE,USE_RFID_READER,,&USE_RFID_READER,1,0,0,USE_RFID_READER,61,SECSGEM/uHGemHT9045_EC.cpp#L61
1430,INT_4_TYPE,Arm 1 Contact times for alarm,,&LastSet.ContactSet[0],,,,Arm 1 Contact times for alarm,62,SECSGEM/uHGemHT9045_EC.cpp#L62
1431,INT_4_TYPE,Arm 2 Contact times for alarm,,&LastSet.ContactSet[1],,,,Arm 2 Contact times for alarm,63,SECSGEM/uHGemHT9045_EC.cpp#L63
1501,ASCII_TYPE,Setup File,,fMain->cbSetupFileName,,,,Recipe Name,64,SECSGEM/uHGemHT9045_EC.cpp#L64
1502,INT_4_TYPE,User Level,,&AccessLevel,3,0,0,0:Operator; 1:Engineer; 2:Supervisor; 3:HonPrec;,65,SECSGEM/uHGemHT9045_EC.cpp#L65
1513,INT_4_TYPE,Tester On/Off,,&LastSet.iTester,2,0,1,0:Off-Line; 1:On-Line; 2:2D_SORT,66,SECSGEM/uHGemHT9045_EC.cpp#L66
1514,INT_4_TYPE,Temperature Mode,,&LastSet.iTemperature,1,0,0,0:Ambient; 1:Hot,67,SECSGEM/uHGemHT9045_EC.cpp#L67
1517,INT_4_TYPE,Start Mode For HT9045,,&LastSet.iRunStartMode,8,0,0,0:Continuous Start;  1:Initial Start; 2:Re-Test Continuous; 3:Re-Test Initial Start; 4:Site Mapping Check; 5:QA Mode; 6:Continuous EQC; 7:Initial EQC; 8:Auto Retest; ,68,SECSGEM/uHGemHT9045_EC.cpp#L68
1518,INT_4_TYPE,Real/Dummy For HT9045,,&LastSet.iRealDummy,2,0,1,0:Dummy; 1:Tray Only; 2:Real; ,69,SECSGEM/uHGemHT9045_EC.cpp#L69
