SVID,Type,Name,Unit,Pointer,Comment,Line,SourceRef
1000,ASCII_TYPE,Machine Define,,&RunInfo.MachineDefine,機台定義,63,SECSGEM/uHGemHT9045_SV.cpp#L63
1001,ASCII_TYPE,Machine Model,,&IniConfig.sMachineType,Machine Type,64,SECSGEM/uHGemHT9045_SV.cpp#L64
1002,ASCII_TYPE,Machine ID,,&IniConfig.sGPIBMachineID,Machine ID,65,SECSGEM/uHGemHT9045_SV.cpp#L65
1003,ASCII_TYPE,Software Version,,&RunInfo.SoftwareVersion,Software Version,66,SECSGEM/uHGemHT9045_SV.cpp#L66
1004,ASCII_TYPE,Software Release Date,,&RunInfo.SoftwareDate,Software Release Date,67,SECSGEM/uHGemHT9045_SV.cpp#L67
1005,ASCII_TYPE,Factory,,&RunInfo.Factory,Factory,68,SECSGEM/uHGemHT9045_SV.cpp#L68
1009,ASCII_TYPE,Lot Start Time,,&RunInfo.LotStartTime,Lot Start Time,69,SECSGEM/uHGemHT9045_SV.cpp#L69
1010,ASCII_TYPE,Machine Pre State,,&sMachinePreState,Machine Pre State,70,SECSGEM/uHGemHT9045_SV.cpp#L70
1011,ASCII_TYPE,Machine State,,fMain->palMainStatus,Machine Status,71,SECSGEM/uHGemHT9045_SV.cpp#L71
1012,ASCII_TYPE,Index Arm1 Torque,,fMain->edTorue0,Index Arm1 Torque,72,SECSGEM/uHGemHT9045_SV.cpp#L72
1013,ASCII_TYPE,Index Arm2 Torque,,fMain->edTorue1,Index Arm2 Torque,73,SECSGEM/uHGemHT9045_SV.cpp#L73
1014,INT_4_TYPE,Tower Light Red,,&iSECS_GEM_PPSIGNALTOWER_CONTROL_RED,三色燈-紅; 0:關; 1:開; 2:閃爍,74,SECSGEM/uHGemHT9045_SV.cpp#L74
1015,INT_4_TYPE,Tower Light Yellow,,&iSECS_GEM_PPSIGNALTOWER_CONTROL_YELLOW,三色燈-紅; 0:關; 1:開; 2:閃爍,75,SECSGEM/uHGemHT9045_SV.cpp#L75
1016,INT_4_TYPE,Tower Light Green,,&iSECS_GEM_PPSIGNALTOWER_CONTROL_GREEN,三色燈-紅; 0:關; 1:開; 2:閃爍,76,SECSGEM/uHGemHT9045_SV.cpp#L76
1017,INT_4_TYPE,Number of RT,,&LastSet.iAutoRetestCount_ART,Number of RT,77,SECSGEM/uHGemHT9045_SV.cpp#L77
1018,ASCII_TYPE,Galil_Driver_Version,,&RunInfo.GalilVersion,Gaili Driver Version,78,SECSGEM/uHGemHT9045_SV.cpp#L78
1019,INT_4_TYPE,Machine Pre Status,,&iSECSGEMMachinePreState,Machine PreStatus,79,SECSGEM/uHGemHT9045_SV.cpp#L79
1020,INT_4_TYPE,Machine Pre State,,&iSECSGEMMachineState,Machine Pre State,80,SECSGEM/uHGemHT9045_SV.cpp#L80
1021,INT_4_TYPE,UPH,,&RunInfo.iUPH,UPH,81,SECSGEM/uHGemHT9045_SV.cpp#L81
1023,ASCII_TYPE,Index Time,,&RunInfo.IndexTime,Index Time,82,SECSGEM/uHGemHT9045_SV.cpp#L82
1024,ASCII_TYPE,Index Cycle Time,,&RunInfo.IndexCycleTime,Index Cycle Time,83,SECSGEM/uHGemHT9045_SV.cpp#L83
1025,ASCII_TYPE,Test Time,,&RunInfo.TestTime,Test Time,84,SECSGEM/uHGemHT9045_SV.cpp#L84
1026,ASCII_TYPE,MTBA,,&RunInfo.MTBA,MTBA,85,SECSGEM/uHGemHT9045_SV.cpp#L85
1027,ASCII_TYPE,System Time,,&RunInfo.SystemTime,System Time,86,SECSGEM/uHGemHT9045_SV.cpp#L86
1028,ASCII_TYPE,Avg UPH,,&RunInfo.iAvgUPH,Average UPH,87,SECSGEM/uHGemHT9045_SV.cpp#L87
1031,ASCII_TYPE,MUBA,,&RunInfo.MUBA,MUBA,88,SECSGEM/uHGemHT9045_SV.cpp#L88
1032,INT_4_TYPE,Power On Time,,&LastSet.SystemAccSecond[0][stPowerOn],Power On Time,89,SECSGEM/uHGemHT9045_SV.cpp#L89
1033,INT_4_TYPE,Running Time,,&LastSet.SystemAccSecond[0][stStartTime],Running Time,90,SECSGEM/uHGemHT9045_SV.cpp#L90
1034,INT_4_TYPE,Production Time,,&LastSet.SystemAccSecond[0][stProductTime],Production Time,91,SECSGEM/uHGemHT9045_SV.cpp#L91
1035,INT_4_TYPE,Pause Time,,&LastSet.SystemAccSecond[0][stPauseTime],Pause Time,92,SECSGEM/uHGemHT9045_SV.cpp#L92
1036,INT_4_TYPE,Jam Count,,&LastSet.iJamCount[1],Jam Count,93,SECSGEM/uHGemHT9045_SV.cpp#L93
1040,INT_4_TYPE,ATC SYSTEM,,&ATC_SYSTEM,ATC SYSTEM,94,SECSGEM/uHGemHT9045_SV.cpp#L94
1041,ASCII_TYPE,EP Penconder,,fMain->lbEPenconder,EP Penconder,95,SECSGEM/uHGemHT9045_SV.cpp#L95
1043,BOOLEAN_TYPE,ATC State,,&iATCOnLine,ATC State,96,SECSGEM/uHGemHT9045_SV.cpp#L96
1044,BOOLEAN_TYPE,ATC RUN,,&bRunATC,ATC RUN,97,SECSGEM/uHGemHT9045_SV.cpp#L97
1045,ASCII_TYPE,ATC Chiller,,&bRunATC,ATC Chiller,98,SECSGEM/uHGemHT9045_SV.cpp#L98
1046,ASCII_TYPE,Chiller Temp,,&Temperature.iATCChillerTemp,Chiller Temp,99,SECSGEM/uHGemHT9045_SV.cpp#L99
1047,FT_8_TYPE,Read KG,,fContact->lblEPValueKg,Read KG,100,SECSGEM/uHGemHT9045_SV.cpp#L100
1048,ASCII_TYPE,Test Arm EP value transform to Kg,,fContact->lblEPValueKg,Test Arm EP value transform to Kg,101,SECSGEM/uHGemHT9045_SV.cpp#L101
1049,INT_4_TYPE,Which Arm is in socket area,,&iWhichArmDown,Which Arm is in socket area,102,SECSGEM/uHGemHT9045_SV.cpp#L102
1050,ASCII_TYPE,Lot End Time,,&RunInfo.LotEndTime,Lot End Time,103,SECSGEM/uHGemHT9045_SV.cpp#L103
1051,ASCII_TYPE,Hot Plate1 Temperature,,&RunInfo.ShowTempComp[tcHotPlate1],Hot Plate1 Temperature,104,SECSGEM/uHGemHT9045_SV.cpp#L104
1052,ASCII_TYPE,Hot Plate2 Temperature,,&RunInfo.ShowTempComp[tcHotPlate2],Hot Plate2 Temperature,105,SECSGEM/uHGemHT9045_SV.cpp#L105
1053,ASCII_TYPE,Shuttle1 Temperature,,&RunInfo.ShowTempComp[tcShuttle1],Shuttle1 Temperature,106,SECSGEM/uHGemHT9045_SV.cpp#L106
1054,ASCII_TYPE,Shuttle2 Temperature,,&RunInfo.ShowTempComp[tcShuttle2],Shuttle2 Temperature,107,SECSGEM/uHGemHT9045_SV.cpp#L107
1055,ASCII_TYPE,Head1 Temperature,,&RunInfo.ShowTempComp[tcHead1],Head1 Temperature,108,SECSGEM/uHGemHT9045_SV.cpp#L108
1056,ASCII_TYPE,Head2 Temperature,,&RunInfo.ShowTempComp[tcHead2],Head2 Temperature,109,SECSGEM/uHGemHT9045_SV.cpp#L109
